pin,status,claim_class,claim_date,verdict,reason,rule,citation_count,first_citation,near_miss_strings,tax_sale_rows,scavenger_rows
29-09-418-036-0000,To Be Secured,CLAIM_UNCLEAR,,NOT_CHECKABLE,status-semantics-unresolved,,0,,,4,0
29-10-203-024-0000,Secured Inventory - Active,HELD,,SUPPORTED,,H2,1,wvhk-k5uv 1608219089 2016-03-10 FANNIE MAE A/K/A FEDERAL NATIONAL MORTGAGE ASSOCIATION -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,,0,0
29-10-221-001-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-10-223-046-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-10-230-052-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
29-10-231-015-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-10-233-046-0000,Sold,DISPOSED,2017-02-01,SUPPORTED,,D1,1,wvhk-k5uv 1704610097 2017-02-01 SOUTH SUBURBAN LAND BANK -> EVANS LAND TRUST #14933,,0,0
29-10-233-052-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-10-303-035-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-10-304-085-0000,Deed Recorded,CLAIM_UNCLEAR,,NOT_CHECKABLE,status-semantics-unresolved,,0,,,4,0
29-10-409-014-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-11-110-009-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-110-020-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-11-113-036-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-115-021-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-118-023-0000,Associated Parcel - Pre Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-118-024-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-121-004-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-11-202-056-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-213-022-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-11-313-055-0000,Listed,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-11-318-034-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-11-400-049-0000,Sold,DISPOSED,2019-10-15,SUPPORTED,,D1,1,wvhk-k5uv 1929041091 2019-10-09 SOUTH SUBURBAN LAND BANK -> DEPARTMENT PROPERTY GROUP,,0,0
29-11-413-056-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-11-420-016-0000,Sold,DISPOSED,2016-10-01,SUPPORTED,,D1,1,wvhk-k5uv 1630134049 2016-10-26 SOUTH SUBURBAN LAND BANK & DEVELOPMENT AUTHORITY -> JERMAINE MCNEIL,,0,0
29-12-308-034-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-12-320-003-0000,Sold,DISPOSED,2018-07-09,SUPPORTED,,D1,1,"wvhk-k5uv 1819406076 2018-06-07 SOUTH SUBURBAN LAND BANK -> FATHERS AND BLESSINGS, A",,4,0
29-15-200-026-0000,Sold,DISPOSED,2025-10-27,CONTRADICTED,,D3,3,wvhk-k5uv 2530824015 2025-10-17 None -> DAVID LEJUAN WILLIS SR.,,0,0
29-15-200-041-0000,Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-15-201-019-0000,Case Dismissed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-15-400-008-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-15-400-034-0000,Secured Inventory - Banked,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,3,0
29-15-412-040-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-16-106-057-0000,Sold,DISPOSED,2019-09-17,SUPPORTED,,D1,1,wvhk-k5uv 1923406204 2019-08-21 SOUTH SUBURBAN LAND BANK -> VILLAGE OF PHOENIX,,0,0
29-16-109-005-0000,Secured Inventory - Active,HELD,,SUPPORTED,,H2,1,wvhk-k5uv 1432533026 2014-10-28 FANNIE MAE -> SOUTH SUBURBAN LAND BK & DEV AUTH,,0,0
29-16-307-019-0000,Demolition Phase,HELD,,AMBIGUOUS,,H2+NEAR-MISS,1,wvhk-k5uv 2503021018 2024-10-28 COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY -> SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY,C.C. LAND BANK AUTH. DO NOT USE(NO PINS); COUNTY OF COOK D/B/A COOK COUNTY LAND BANK AUTHORITY,1,0
29-16-318-011-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-16-318-012-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-16-318-016-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-16-318-017-0000,Acquisition Underway,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-309-016-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-309-017-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-17-310-006-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-310-007-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-310-020-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-310-028-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-310-033-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-17-315-032-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-17-315-033-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,1
29-17-316-054-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-316-067-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-17-317-006-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-17-317-011-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-18-414-032-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-21-117-004-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-21-200-075-0000,Sold,DISPOSED,2025-11-20,SUPPORTED,,D1,1,"wvhk-k5uv 2532911012 2025-11-20 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> INVESTOR REAL ESTATE GROUP, LLC",,1,0
29-21-314-018-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-21-314-019-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-22-103-030-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-22-104-006-0000,Offer Pending,CLAIM_UNCLEAR,,NOT_CHECKABLE,status-semantics-unresolved,,0,,,3,0
29-22-104-020-0000,Sold,DISPOSED,2024-09-13,SUPPORTED,,D1,1,"wvhk-k5uv 2427428017 2024-07-18 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> CALUMET LIFT TRUCK SERVICE COMPANY, INC.",,0,0
29-22-108-016-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-22-416-010-0000,Sold,DISPOSED,2026-03-30,SUPPORTED,,D1,1,wvhk-k5uv 2609618000 2026-03-25 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> WHITE’S INVESTMENT GROUP LLC,,0,0
29-23-113-002-0000,Case Dismissed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-23-308-021-0000,Case Dismissed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-25-211-034-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-25-405-030-1013,Sold,DISPOSED,2019-07-02,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-27-101-008-0000,Sold,DISPOSED,2024-10-31,SUPPORTED,,D1,1,wvhk-k5uv 2431022186 2024-10-18 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> M & M HOME SOLUTIONS LLC,,2,0
29-30-101-032-0000,Sold,DISPOSED,2022-05-03,SUPPORTED,,D1,1,"wvhk-k5uv 2213655220 2022-03-31 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> FATHERS AND BLESSINGS, NFP",,4,0
29-30-102-014-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-30-102-033-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-30-104-021-0000,Sold,DISPOSED,2018-01-23,SUPPORTED,,D1,1,wvhk-k5uv 1802418015 2018-01-23 SOUTH SUBURBAN LAND BANK -> ABDULLAH H. SIDDIQUI,,0,0
29-30-108-016-0000,Sold,DISPOSED,2021-03-16,AMBIGUOUS,,D5,2,wvhk-k5uv 2108445038 2021-03-12 None -> None,,3,0
29-30-113-011-0000,Acquisition Method Failure,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-30-118-050-0000,Sold,DISPOSED,2022-05-03,SUPPORTED,,D1,1,wvhk-k5uv 2213608136 2022-03-31 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> FATHERS AND BLESSINGS NFP,,4,0
29-30-120-048-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-122-048-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-30-123-019-0000,Sold,DISPOSED,2025-07-01,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-30-123-020-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-30-127-028-0000,Sold,DISPOSED,2026-02-20,CONTRADICTED,,D3,5,wvhk-k5uv 2605510020 2026-01-30 None -> AWWAD  TADROS,,4,0
29-30-127-029-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
29-30-130-014-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-130-049-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-30-131-015-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-30-131-036-0000,Sold,DISPOSED,2023-07-06,CONTRADICTED,,D3,7,wvhk-k5uv 2319345035 2023-06-23 None -> None,,4,0
29-30-131-038-0000,Sold,DISPOSED,2021-10-29,AMBIGUOUS,,D5,2,wvhk-k5uv 2114546137 2021-04-13 None -> None,,4,0
29-30-200-009-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-200-029-0000,Secured Inventory - Active,HELD,,UNSUPPORTED_NO_RECORD,,H4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
29-30-200-053-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-30-200-058-0000,Sold,DISPOSED,2022-03-03,SUPPORTED,,D1,1,"wvhk-k5uv 2206706151 2022-02-04 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> ALL SILVER, INC.",,1,0
29-30-201-006-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
29-30-201-014-0000,Sold,DISPOSED,2022-05-03,SUPPORTED,,D1,1,wvhk-k5uv 2213642185 2022-03-31 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> FATHERS AND BLESSINGS NFP,,2,0
29-30-201-034-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-30-202-016-0000,Sold,DISPOSED,2022-02-14,AMBIGUOUS,,D5,2,wvhk-k5uv 2208055023 2022-02-04 None -> None,,4,0
29-30-210-008-0000,Sold,DISPOSED,2017-03-01,SUPPORTED,,D1,1,wvhk-k5uv 1707329095 2017-03-10 SOUTH SUBURBAN LAND BANK -> B.T.L. EMPIRE LLC,,0,0
29-30-213-007-0000,Sold,DISPOSED,2017-03-01,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
29-30-215-010-0000,Sold,DISPOSED,2025-09-30,SUPPORTED,,D1,1,"wvhk-k5uv 2527524005 2025-09-26 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> PARK AVENUE LAND COMPANY, LLC",,4,0
29-30-217-005-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-217-041-0000,Sold,DISPOSED,2022-05-03,SUPPORTED,,D1,1,wvhk-k5uv 2213655221 2022-03-31 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> FATHERS AND BLESSINGS NFP,,2,0
29-30-218-016-0000,Sold,DISPOSED,2022-05-03,CONTRADICTED,,D3,3,wvhk-k5uv 2214007295 2022-03-31 None -> None,,3,0
29-30-218-037-0000,Sold,DISPOSED,2017-01-01,SUPPORTED,,D1,1,wvhk-k5uv 1704733128 2017-02-01 SOUTH SUBURBAN LAND BANK -> B.T.L. EMPIRE LLC,,1,0
29-30-218-038-0000,Sold,DISPOSED,,AMBIGUOUS,,D-nodate,1,wvhk-k5uv 1704733128 2017-02-01 SOUTH SUBURBAN LAND BANK -> B.T.L. EMPIRE LLC,,1,0
29-30-218-039-0000,Sold,DISPOSED,,AMBIGUOUS,,D-nodate,1,wvhk-k5uv 1704733128 2017-02-01 SOUTH SUBURBAN LAND BANK -> B.T.L. EMPIRE LLC,,1,1
29-30-218-040-0000,Sold,DISPOSED,,AMBIGUOUS,,D-nodate,1,wvhk-k5uv 1704733128 2017-02-01 SOUTH SUBURBAN LAND BANK -> B.T.L. EMPIRE LLC,,1,1
29-30-218-041-0000,Sold,DISPOSED,,AMBIGUOUS,,D-nodate,1,wvhk-k5uv 1704733128 2017-02-01 SOUTH SUBURBAN LAND BANK -> B.T.L. EMPIRE LLC,,1,1
29-30-219-015-0000,Deed Recorded,CLAIM_UNCLEAR,,NOT_CHECKABLE,status-semantics-unresolved,,0,,,4,0
29-30-219-016-0000,Sold,DISPOSED,2025-10-01,SUPPORTED,,D1,1,wvhk-k5uv 2528219014 2025-09-30 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> LEGIO I MINERVA LLC,,4,0
29-30-223-009-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-223-010-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-223-034-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-223-035-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-30-224-001-0000,Associated Parcel - Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-30-225-042-0000,Sold,DISPOSED,2025-05-14,CONTRADICTED,,D3,7,wvhk-k5uv 2514124100 2025-05-09 None -> None,,4,0
29-30-225-043-0000,Associated Parcel - Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,4,0
29-30-226-022-0000,Sold,DISPOSED,2025-10-13,CONTRADICTED,,D3,10,wvhk-k5uv 2529519064 2025-10-08 None -> JULIAN WARFIELD,,4,1
29-30-227-002-0000,Sold,DISPOSED,2026-05-05,SUPPORTED,,D1,1,"wvhk-k5uv 2612807054 2026-04-28 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY, AN ILLINOIS INTERGOVERNMENTAL AGENCY -> NORMAN BROWN",,4,1
29-30-227-003-0000,Sold,DISPOSED,2026-05-05,SUPPORTED,,D1,1,"wvhk-k5uv 2612807053 2026-04-28 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY, AN ILLINOIS INTERGOVERNMENTAL AGENCY -> NORMAN BROWN",,4,1
29-30-227-007-0000,Sold,DISPOSED,2024-01-12,SUPPORTED,,D1,1,wvhk-k5uv 2401706183 2024-01-10 SOUTH SUBURBAN LAND BANK AND DEVELOPMENT AUTHORITY -> KEEP LETTING THEM BELIEVE FOUNDATION,,1,0
29-30-300-015-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-30-300-021-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-30-300-053-0000,Sold,DISPOSED,,UNSUPPORTED_NO_RECORD,,D-nodate,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,1,0
29-30-300-059-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
29-31-112-025-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
29-31-112-027-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-31-400-046-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
29-31-412-039-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,2
29-31-412-062-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,2
29-32-405-004-0000,Prospecting - Hold for Review,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
29-32-406-043-1066,Sold,DISPOSED,2021-04-21,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
29-32-407-032-1070,Sold,DISPOSED,2019-10-29,SUPPORTED,,D1,1,wvhk-k5uv 1930341000 2019-10-25 SOUTH SUBURBAN LAND BANK -> ABIOLA OLUWASSEUN PERRY,,0,0
29-34-130-001-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
30-06-309-035-1060,Sold,DISPOSED,2020-07-06,UNSUPPORTED_NO_RECORD,,D4,1,"wvhk-k5uv,3723-97qp   no machine-readable record found in the queried datasets",,0,0
30-07-02-115-016-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-03-423-010-0000,Sold,DISPOSED,2024-06-12,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-03-426-010-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-03-426-011-0000,Test Parcel,NO_CLAIM,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-09-203-003-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-09-401-034-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-09-417-022-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-10-232-018-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-10-322-018-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-10-426-011-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-11-300-025-0000,Sold,DISPOSED,2025-02-05,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-14-103-001-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-114-021-0000,Sold,DISPOSED,2023-01-05,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-122-007-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-129-008-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-129-021-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-200-040-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-201-023-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-204-007-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-217-013-0000,Sold,DISPOSED,2025-08-13,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-220-017-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-221-004-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-321-009-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-15-411-010-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-234-004-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-234-006-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-234-047-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-308-008-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-410-015-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-412-015-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-415-011-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-416-006-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-417-009-0000,Sold,DISPOSED,2024-08-26,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-16-434-009-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-22-105-003-0000,Secured Inventory - Active,HELD,,NOT_CHECKABLE,pin-format,,0,,,0,0
30-07-303-007-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
30-07-303-008-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
30-07-303-009-0000,Prospecting - Declined,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
30-08-105-044-0000,Case Dismissed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
30-08-105-045-0000,Case Dismissed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
30-08-306-050-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
30-08-307-003-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
30-08-307-004-0000,Associated Parcel - Pre Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,4,0
30-08-307-012-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
30-08-402-028-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,0,0
30-08-405-012-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,3,0
30-08-405-013-0000,Associated Parcel - Pre Inventory,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,1,0
30-08-406-003-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
30-08-409-031-0000,Prospecting - Inspection Complete/Muni Evidence Needed,NO_CLAIM,,NOT_CHECKABLE,no-county-checkable-claim,,0,,,2,0
